SKU,ASIN,Product_Name,Category,Price,Rating,Reviews,Sessions,Impressions,Clicks,Orders,Ad_Orders,Sales,Ad_Spend,Inventory,Returns
SKU-0016,B822495895,Makeup Organizer,Sports & Outdoors,59.82,4.3,3099,2774,14393,322,363,54,21714.66,469.5,493,2
SKU-0017,B803463007,Wireless Mouse,Beauty,9.99,4.5,2299,796,7228,384,472,127,4715.28,3841.99,1319,12
SKU-0018,B723867046,Storage Hooks Set,Electronics,57.74,4.6,7102,4562,11042,378,464,97,26791.36,4667.35,634,20
SKU-0019,B789929055,Bluetooth Speaker,Sports & Outdoors,67.97,3.8,2335,2604,9725,95,343,83,23313.71,1883.75,620,18
SKU-0020,B117449683,Laptop Stand,Pet Supplies,67.74,4.9,3078,3166,14128,30,107,12,7248.18,1559.85,917,10
SKU-0021,B125806936,USB Hub,Beauty,17.99,4.1,5350,397,8269,423,586,50,10542.14,2012.1,296,22
SKU-0022,B272843752,Camping Lantern Basic,Sports & Outdoors,70.54,4.1,4474,1203,11384,106,89,86,6278.06,1045.32,2000,0
SKU-0023,B585201665,Charging Cable Set,Home & Kitchen,12.9,3.6,2983,4813,5734,230,151,9,1947.9,1279.47,1155,11
SKU-0024,B412855471,USB Hub,Home & Kitchen,13.26,3.4,1409,3862,3406,390,330,161,4375.8,86.16,1223,4
SKU-0025,B645689296,Travel Cosmetic Bag Premium,Sports & Outdoors,43.85,4.9,8951,3294,9798,173,570,200,24994.5,3137.93,1177,12
SKU-0026,B478173666,Silicone Spatula Set,Electronics,74.79,3.0,4112,3210,6153,329,303,81,22661.37,3018.46,1508,7
SKU-0027,B971621270,LED Desk Lamp,Tools & Home Improvement,9.99,3.8,8414,2030,14077,179,593,84,5924.07,3796.4,302,5
SKU-0028,B880368623,Travel Cosmetic Bag Premium,Sports & Outdoors,12.69,3.4,8382,1005,4249,147,373,187,4733.37,1720.09,126,29
SKU-0029,B578519130,Charging Cable Set,Beauty,30.31,4.1,593,3760,8748,124,277,127,8395.87,380.2,430,24
SKU-0030,B011026195,Yoga Mat,Electronics,8.32,3.2,8414,304,4401,343,448,132,3727.36,2107.64,1452,19
SKU-0031,B866754414,Resistance Bands,Home & Kitchen,29.71,4.2,8745,1366,4240,197,82,18,2436.22,3006.4,1052,28
SKU-0032,B321860866,Silicone Spatula Set,Pet Supplies,67.95,3.0,1250,1847,14102,222,354,241,24054.3,4641.7,1675,21
SKU-0033,B073974663,Laptop Stand,Pet Supplies,32.12,4.0,2963,3329,5759,169,399,70,12815.88,3992.59,504,22
SKU-0034,B245214878,Cleaning Brush Set,Toys & Games,26.71,4.7,6495,2633,12906,306,297,182,7932.87,888.16,1014,22
SKU-0035,B715566296,Laptop Stand,Office Products,31.83,4.1,6410,446,14708,91,241,236,7671.03,1949.58,582,18
SKU-0036,B198428581,Makeup Organizer,Tools & Home Improvement,43.51,3.3,9608,3857,6552,197,281,195,12226.31,4108.78,757,19
SKU-0037,B417845538,Travel Cosmetic Bag Premium,Toys & Games,18.78,4.8,7332,1762,7646,56,343,185,6441.54,2819.08,1538,22
SKU-0038,B900844064,Travel Backpack,Beauty,73.42,4.4,8915,967,12148,33,551,156,40454.42,2726.84,1228,24
SKU-0039,B796126747,Travel Backpack,Office Products,21.54,3.1,4714,2905,4682,127,423,168,9111.42,3122.41,1043,10
SKU-0040,B044014381,Yoga Mat,Office Products,23.26,3.7,671,4883,4217,311,73,7,1697.98,4512.36,1932,7
SKU-0041,B017342918,Travel Cosmetic Bag Premium,Toys & Games,54.46,4.1,3417,2391,12815,324,283,49,15412.18,3347.61,875,17
SKU-0042,B252225271,Bluetooth Speaker,Sports & Outdoors,54.01,3.5,9179,2929,8021,50,43,12,2322.43,1538.21,558,14
SKU-0043,B539998582,Charging Cable Set,Electronics,38.27,4.4,1811,1066,8275,118,65,16,2487.55,3881.41,1706,18
SKU-0044,B938722706,LED Desk Lamp,Tools & Home Improvement,44.81,4.4,5597,626,7265,368,542,36,24287.02,4067.23,283,14
SKU-0045,B604550897,USB Hub,Toys & Games,24.06,3.8,2195,4793,4851,119,326,113,7843.56,712.17,934,11
SKU-0046,B937784941,Travel Cosmetic Bag Premium,Home & Kitchen,72.04,3.4,8792,1780,5027,176,15,10,1080.6,4233.12,465,18
SKU-0047,B624739026,Resistance Bands,Electronics,56.03,4.6,5687,1510,7576,42,446,119,24989.38,2990.66,525,9
SKU-0048,B166999958,Travel Backpack,Beauty,9.18,4.1,945,3560,13403,305,580,53,5324.4,4110.69,447,9
SKU-0049,B959256866,Desk Organizer,Home & Kitchen,36.6,4.1,6670,445,13635,137,364,258,13322.4,656.73,1093,17
SKU-0050,B027241186,USB Hub,Tools & Home Improvement,23.3,4.7,1214,4965,13381,447,247,9,5755.1,2227.08,265,0
SKU-0051,B073626453,Charging Cable Set,Home & Kitchen,57.91,3.7,3898,837,4245,498,583,127,33761.53,4650.91,1665,6
SKU-0052,B210658289,Charging Cable Set,Office Products,8.02,4.9,4900,3740,7016,337,300,263,2406.0,3281.03,1097,10
SKU-0053,B273499113,Travel Cosmetic Bag Premium,Pet Supplies,71.01,3.6,1807,4497,11146,367,366,298,25989.66,4617.05,893,17
SKU-0054,B281677068,USB Hub,Tools & Home Improvement,11.57,3.1,4482,1110,13115,227,373,224,4315.61,2558.05,323,13
SKU-0055,B618962637,Laptop Stand,Sports & Outdoors,76.81,4.0,3049,3596,14390,387,545,112,41861.45,2940.73,1277,14
SKU-0056,B689016824,Silicone Spatula Set,Home & Kitchen,16.91,4.8,1635,4495,10134,406,221,32,3737.11,650.1,1121,11
SKU-0057,B249807819,Charging Cable Set,Beauty,46.14,4.9,5023,1685,8876,164,238,108,10981.32,2949.15,1455,6
SKU-0058,B693735070,Charging Cable Set,Beauty,65.05,4.5,9045,4196,13651,482,198,186,12879.9,4088.87,636,28
SKU-0059,B991376445,Camping Lantern Basic,Electronics,21.55,3.6,2837,1373,8915,350,319,281,6874.45,1451.69,1635,20
SKU-0060,B994507926,Wireless Mouse,Electronics,75.69,4.0,131,3155,9252,243,431,155,32622.39,3151.06,260,22
SKU-0061,B286374217,Camping Lantern Basic,Pet Supplies,32.44,4.8,3771,4428,14797,290,435,274,14111.4,4925.24,369,21
SKU-0062,B661517854,LED Desk Lamp,Electronics,22.81,4.6,5820,3793,13242,352,246,205,5611.26,1635.07,850,10
SKU-0063,B495109743,USB Hub,Sports & Outdoors,24.93,4.8,9467,1372,13260,438,352,75,8775.36,1911.67,1076,0
SKU-0064,B178489207,Storage Hooks Set,Electronics,51.13,3.9,712,1821,14026,250,449,15,22957.37,1880.33,335,9
SKU-0065,B786032009,Travel Cosmetic Bag Premium,Home & Kitchen,15.42,3.7,9662,544,9639,220,525,27,8095.5,1434.71,1204,6
SKU-0066,B292996249,Desk Organizer,Tools & Home Improvement,67.54,4.9,4087,328,6530,158,563,113,38025.02,3957.43,906,17
SKU-0067,B780328187,USB Hub,Tools & Home Improvement,36.74,3.4,5696,4964,3257,258,261,208,9589.14,1266.74,1165,9
SKU-0068,B700488739,Travel Cosmetic Bag Premium,Office Products,47.04,3.1,1898,4529,13200,27,269,167,12653.76,1155.91,1626,15
SKU-0069,B249380701,Yoga Mat,Electronics,60.97,4.1,2422,3748,12302,210,407,251,24814.79,4470.28,1593,13
SKU-0070,B701231300,Yoga Mat,Home & Kitchen,74.63,3.9,2007,4005,12763,287,102,57,7612.26,1769.25,1097,20
SKU-0071,B778253061,Storage Hooks Set,Tools & Home Improvement,76.85,4.3,2982,1663,13281,112,312,186,23977.2,4251.74,688,7
SKU-0072,B208785789,Travel Backpack,Pet Supplies,73.21,4.4,1664,1412,7334,415,554,8,40558.34,4448.92,1364,4
SKU-0073,B267640597,Camping Lantern Basic,Beauty,14.23,3.8,4762,1406,9499,144,435,299,6190.05,4609.97,1253,27
SKU-0074,B678217039,Camping Lantern Basic,Office Products,34.27,4.0,819,556,7469,253,236,94,8087.72,1221.74,450,2
SKU-0075,B622607749,Storage Hooks Set,Sports & Outdoors,12.92,4.8,1523,789,12531,457,234,42,3023.28,2819.86,843,12
SKU-0076,B773003542,Charging Cable Set,Sports & Outdoors,53.17,3.3,6171,2882,13186,79,112,35,5955.04,3257.51,535,13
SKU-0077,B358603648,Makeup Organizer,Tools & Home Improvement,46.96,3.9,7025,567,14147,42,172,32,8077.12,2709.36,1337,17
SKU-0078,B297521327,Laptop Stand,Tools & Home Improvement,46.17,3.8,5844,3639,11006,304,83,73,3832.11,1598.35,180,11
SKU-0079,B332640687,Wireless Mouse,Beauty,62.73,3.1,771,1241,6978,275,104,10,6523.92,4759.83,1166,20
SKU-0080,B448108024,Camping Lantern Basic,Sports & Outdoors,54.36,3.0,5838,3575,11516,471,479,269,26038.44,2523.41,366,12
SKU-0081,B902611002,Water Bottle,Sports & Outdoors,27.91,3.5,3402,3209,6027,44,265,157,7396.15,3832.87,597,19
SKU-0082,B727785004,Desk Organizer,Toys & Games,58.28,4.5,4588,4500,3827,78,459,149,26750.52,4895.02,1657,27
SKU-0083,B856546316,Silicone Spatula Set,Beauty,33.49,3.8,3442,1631,14070,235,274,173,9176.26,3314.26,1744,19
SKU-0084,B319738477,Laptop Stand,Beauty,58.47,3.1,4433,3851,14853,445,64,50,3742.08,634.87,475,20
SKU-0085,B757807031,Silicone Spatula Set,Home & Kitchen,41.78,4.6,8893,4118,7698,477,291,220,12157.98,1565.35,444,18
SKU-0086,B245204678,Camping Lantern Basic,Sports & Outdoors,13.26,3.5,4895,2371,9771,348,148,74,1962.48,815.33,581,3
SKU-0087,B374012563,Travel Cosmetic Bag Premium,Sports & Outdoors,26.64,4.6,7096,1986,8638,437,582,169,15504.48,3325.7,514,24
SKU-0088,B646986639,Kitchen Storage Rack,Electronics,60.05,4.9,7485,4752,9911,230,327,14,19636.35,3437.68,1697,6
SKU-0089,B601987560,Silicone Spatula Set,Sports & Outdoors,10.42,3.7,884,457,13643,244,471,220,4907.82,2426.66,1264,0
SKU-0090,B846544402,LED Desk Lamp,Toys & Games,37.33,3.3,1296,1950,10840,425,594,72,22174.02,785.92,1834,22
SKU-0091,B610655837,Kitchen Storage Rack,Tools & Home Improvement,57.5,3.3,793,919,7004,35,343,114,19722.5,966.43,976,30
SKU-0092,B579523557,Bluetooth Speaker,Toys & Games,28.39,4.4,2226,1851,13633,399,579,276,16437.81,1419.37,1966,1
SKU-0093,B641487952,Water Bottle,Beauty,54.53,3.9,3775,666,9254,221,93,22,5071.29,1630.66,1547,7
SKU-0094,B064626363,Cleaning Brush Set,Sports & Outdoors,43.56,4.8,914,1990,10509,115,60,7,2613.6,1929.5,1802,24
SKU-0095,B203514562,Cleaning Brush Set,Home & Kitchen,9.84,4.6,5234,1561,5393,416,460,131,4526.4,3921.12,1657,8
SKU-0096,B769720926,Travel Backpack,Home & Kitchen,28.01,4.3,8677,3552,4549,311,350,121,9803.5,1608.59,648,15
SKU-0097,B036489297,Wireless Mouse,Home & Kitchen,60.34,4.4,4686,3032,7559,427,136,42,8206.24,2969.97,386,29
SKU-0098,B318198174,Yoga Mat,Beauty,24.16,4.7,8187,4862,11471,257,52,28,1256.32,2337.35,1078,15
SKU-0099,B561234385,Water Bottle,Home & Kitchen,53.61,4.1,9905,3947,8804,395,18,12,964.98,4910.42,51,3
SKU-0100,B788049898,USB Hub,Tools & Home Improvement,60.35,4.1,4482,1223,8865,344,394,129,23777.9,3763.13,608,6
SKU-0101,B493883529,Camping Lantern Basic,Office Products,41.09,4.2,9304,3439,11162,252,481,268,19764.29,1887.83,1800,28
SKU-0102,B041338910,Travel Cosmetic Bag Premium,Beauty,38.35,4.7,2958,4936,7539,383,217,98,8321.95,578.53,949,15
SKU-0103,B124195856,Silicone Spatula Set,Tools & Home Improvement,51.42,3.5,8736,3734,12339,236,96,78,4936.32,2061.07,423,13
SKU-0104,B724424384,Laptop Stand,Tools & Home Improvement,34.13,3.9,805,4515,6808,127,572,163,19522.36,4969.03,324,11
SKU-0105,B251349772,Phone Stand,Sports & Outdoors,70.26,3.6,8578,3653,3218,223,60,23,4215.6,2466.01,1754,30
SKU-0106,B216867156,Yoga Mat,Sports & Outdoors,34.05,4.2,4060,3456,12784,464,160,138,5448.0,82.9,58,1
SKU-0107,B619796188,Makeup Organizer,Sports & Outdoors,64.77,4.9,1267,3212,8213,185,152,116,9845.04,543.32,1914,21
SKU-0108,B931091731,LED Desk Lamp,Electronics,50.36,3.9,9592,2630,4410,83,243,32,12237.48,3959.62,1771,20
SKU-0109,B427477914,Water Bottle,Home & Kitchen,56.51,4.8,8418,4030,7959,226,550,206,31080.5,1776.47,1404,25
SKU-0110,B385088503,Desk Organizer,Beauty,74.99,3.7,4717,2461,10761,419,554,20,41544.46,3685.39,930,22
SKU-0111,B808401512,Storage Hooks Set,Pet Supplies,8.06,4.2,6257,3313,6048,312,512,291,4126.72,1866.96,504,19
SKU-0112,B109338228,USB Hub,Toys & Games,25.42,3.7,9168,3442,8014,479,172,158,4372.24,3830.83,418,11
SKU-0113,B202536871,Storage Hooks Set,Beauty,58.92,4.4,1852,2262,6144,79,327,9,19266.84,388.59,1857,14
SKU-0114,B799990726,Yoga Mat,Beauty,27.3,3.8,3235,375,5282,360,270,234,7371.0,2759.93,1077,15
SKU-0115,B968797598,Laptop Stand,Toys & Games,60.42,4.6,1755,1801,7644,352,277,98,16736.34,3700.95,839,11
SKU-0116,B793185015,Silicone Spatula Set,Office Products,39.31,4.7,853,1202,6371,360,253,59,9945.43,3407.73,1184,1
SKU-0117,B018620986,Kitchen Storage Rack,Home & Kitchen,23.95,4.8,8297,4209,3966,230,82,12,1963.9,3917.1,226,23
SKU-0118,B043604349,Camping Lantern Basic,Electronics,22.63,3.6,8003,4805,13838,177,395,216,8938.85,3230.61,1328,7
SKU-0119,B304938562,Kitchen Storage Rack,Beauty,71.3,4.7,7358,3860,9557,202,422,118,30088.6,2897.57,301,26
SKU-0120,B052433445,Silicone Spatula Set,Tools & Home Improvement,74.65,3.7,5962,3974,14184,46,561,145,41878.65,180.49,526,28
SKU-0121,B388591241,Travel Cosmetic Bag Premium,Beauty,52.78,4.9,6192,2668,10665,408,587,291,30981.86,3284.51,712,9
SKU-0122,B203909925,USB Hub,Office Products,76.15,3.1,9729,518,4401,321,130,98,9899.5,2242.45,1668,24
SKU-0123,B021446584,Camping Lantern Basic,Electronics,17.56,4.8,7567,4266,11058,62,272,79,4776.32,495.48,213,12
SKU-0124,B888272590,Silicone Spatula Set,Toys & Games,12.26,3.1,516,542,3288,207,586,113,7184.36,3731.31,1959,0
SKU-0125,B244500338,Travel Backpack,Beauty,53.98,3.5,3828,507,14925,102,412,58,22239.76,700.5,1560,5
SKU-0126,B177811153,Wireless Mouse,Home & Kitchen,53.55,3.6,9116,4067,6712,206,152,18,8139.6,1491.65,1227,8
SKU-0127,B028468544,Charging Cable Set,Home & Kitchen,21.21,4.5,9312,776,4186,310,52,45,1102.92,2741.3,401,19
SKU-0128,B204977991,Pet Grooming Brush,Toys & Games,23.08,3.7,8014,469,8129,312,443,144,10224.44,706.89,1654,15
SKU-0129,B573101761,Camping Lantern Basic,Home & Kitchen,41.46,3.6,1002,3689,14703,471,350,188,14511.0,1648.07,353,2
SKU-0130,B197719040,Resistance Bands,Toys & Games,77.27,3.3,6584,3140,5004,293,496,189,38325.92,876.3,160,7
SKU-0131,B669175741,Wireless Mouse,Sports & Outdoors,44.03,3.2,2685,1097,9478,250,87,17,3830.61,2773.11,1754,0
SKU-0132,B043219035,Laptop Stand,Office Products,17.2,4.6,4523,2770,3792,327,156,147,2683.2,748.08,1718,4
SKU-0133,B289628219,Pet Grooming Brush,Electronics,39.48,4.2,9923,4622,10008,264,381,163,15041.88,4631.2,1442,8
SKU-0134,B537133876,Kitchen Storage Rack,Beauty,67.26,4.0,1423,1946,11814,490,437,6,29392.62,1148.07,1464,23
SKU-0135,B453432863,Resistance Bands,Office Products,71.39,3.4,8030,1349,14754,142,260,97,18561.4,2580.02,1368,8
SKU-0136,B102964178,Travel Cosmetic Bag Premium,Tools & Home Improvement,65.13,4.9,5331,1590,13576,329,567,186,36928.71,4692.39,1696,15
SKU-0137,B918851490,Storage Hooks Set,Tools & Home Improvement,51.34,4.5,4510,3713,10006,65,140,5,7187.6,1419.94,218,2
SKU-0138,B124823285,Kitchen Storage Rack,Electronics,67.82,4.6,3832,3919,11214,416,540,190,36622.8,1289.51,866,21
SKU-0139,B212090660,Makeup Organizer,Office Products,11.33,3.3,5029,732,3537,193,238,127,2696.54,2000.5,849,7
SKU-0140,B324187736,Laptop Stand,Toys & Games,23.25,3.3,4031,3653,13121,313,374,75,8695.5,786.78,1198,30
SKU-0141,B917038624,Yoga Mat,Tools & Home Improvement,66.37,3.8,579,3421,5897,232,176,33,11681.12,679.73,1815,12
SKU-0142,B825525907,Water Bottle,Sports & Outdoors,58.32,4.9,5068,2527,13952,244,570,201,33242.4,1917.32,874,14
SKU-0143,B255198913,USB Hub,Beauty,46.65,4.7,9736,3267,10797,172,493,231,22998.45,4999.5,521,13
SKU-0144,B166627080,USB Hub,Electronics,13.91,4.8,3340,2902,8413,397,182,174,2531.62,2270.4,544,15
SKU-0145,B727887702,Phone Stand,Toys & Games,46.33,4.9,8875,4935,7524,291,552,282,25574.16,1119.93,1267,22
SKU-0146,B673277398,LED Desk Lamp,Home & Kitchen,32.65,4.3,6456,4712,9988,375,448,67,14627.2,4615.56,346,0
SKU-0147,B421254988,Phone Stand,Home & Kitchen,78.4,3.3,7458,2381,14290,191,496,261,38886.4,2403.18,1366,24
SKU-0148,B475262841,LED Desk Lamp,Sports & Outdoors,62.5,4.3,8358,704,4074,459,105,64,6562.5,3686.77,1045,2
SKU-0149,B594898255,Yoga Mat,Beauty,62.1,3.6,238,4717,11861,220,489,247,30366.9,441.44,238,9
SKU-0150,B315416129,Yoga Mat,Toys & Games,30.56,4.9,5705,1168,6979,475,343,77,10482.08,1161.67,1157,10
SKU-0151,B802087073,Phone Stand,Sports & Outdoors,48.36,4.3,8506,310,9197,181,127,72,6141.72,2243.02,1970,10
SKU-0152,B581970025,Cleaning Brush Set,Tools & Home Improvement,19.15,3.0,6519,1606,11770,500,151,143,2891.65,3895.37,430,29
SKU-0153,B251715815,Charging Cable Set,Office Products,26.24,3.2,6797,2507,8127,104,508,206,13329.92,4769.89,1041,14
SKU-0154,B327371288,Desk Organizer,Tools & Home Improvement,62.99,5.0,6724,1601,6834,373,469,191,29542.31,4745.39,1467,7
SKU-0155,B856323109,Wireless Mouse,Pet Supplies,71.06,3.1,4325,1991,9862,397,216,196,15348.96,3205.6,1247,18
SKU-0156,B697651468,Pet Grooming Brush,Office Products,56.87,3.3,769,1160,4739,358,299,275,17004.13,2217.37,1497,4
SKU-0157,B480335134,Travel Backpack,Sports & Outdoors,34.78,5.0,2261,1704,10897,86,372,19,12938.16,2669.26,843,6
SKU-0158,B081082935,USB Hub,Beauty,42.63,3.8,3602,4098,12807,436,138,12,5882.94,4282.03,845,15
SKU-0159,B937099631,Charging Cable Set,Toys & Games,42.43,3.0,1358,2792,7034,188,537,164,22784.91,4520.3,1043,5
SKU-0160,B469708602,Travel Backpack,Tools & Home Improvement,52.74,3.3,3564,623,7533,174,561,98,29587.14,3146.24,1143,11
SKU-0161,B974662607,Desk Organizer,Home & Kitchen,10.55,3.3,5594,4840,3347,144,141,138,1487.55,1350.45,965,23
SKU-0162,B620704719,Phone Stand,Sports & Outdoors,79.89,3.9,4204,4267,3532,432,298,166,23807.22,4296.39,1554,23
SKU-0163,B130350823,Yoga Mat,Tools & Home Improvement,79.31,4.7,9831,4658,7058,348,301,236,23872.31,1780.82,754,28
SKU-0164,B145031990,Yoga Mat,Toys & Games,42.25,5.0,8445,3407,11788,305,510,68,21547.5,856.15,861,3
SKU-0165,B216543715,Pet Grooming Brush,Beauty,28.64,3.4,3768,375,10803,356,230,52,6587.2,4676.32,782,13
SKU-0166,B267842514,Camping Lantern Basic,Beauty,34.99,3.6,621,4312,4773,321,258,26,9027.42,1703.0,1346,0
SKU-0167,B867517586,Resistance Bands,Tools & Home Improvement,58.52,4.4,4386,4789,12956,93,455,149,26626.6,3755.77,1217,26
SKU-0168,B581142479,Travel Cosmetic Bag Premium,Pet Supplies,8.53,4.8,4624,3435,4258,275,256,243,2183.68,3901.23,1493,16
SKU-0169,B379742938,Water Bottle,Pet Supplies,9.24,4.9,7325,4866,9673,463,597,166,5516.28,2262.39,1847,24
SKU-0170,B126923722,Wireless Mouse,Toys & Games,17.75,4.4,1412,3893,5795,107,572,18,10153.0,2705.66,1555,15
SKU-0171,B629640026,Kitchen Storage Rack,Home & Kitchen,41.56,4.8,1460,1616,4614,30,84,55,3491.04,1591.11,760,23
SKU-0172,B642414468,Laptop Stand,Office Products,60.59,4.6,4155,3520,8388,24,191,46,11572.69,2073.91,1027,22
SKU-0173,B842238635,Laptop Stand,Tools & Home Improvement,22.8,4.7,2135,3363,13883,51,273,55,6224.4,3167.98,1588,30
SKU-0174,B789886264,Travel Backpack,Pet Supplies,67.64,4.7,4124,4676,10923,337,548,290,37066.72,2843.13,304,10
SKU-0175,B195995968,Travel Backpack,Beauty,42.94,4.7,9746,2297,3761,192,574,30,24647.56,4934.98,324,28
SKU-0176,B340453653,Kitchen Storage Rack,Tools & Home Improvement,72.62,3.2,7885,2073,4001,480,324,282,23528.88,765.29,1491,19
SKU-0177,B537411443,Storage Hooks Set,Tools & Home Improvement,40.28,4.8,8847,1684,6384,337,523,54,21066.44,3987.5,1775,8
SKU-0178,B886793277,Bluetooth Speaker,Electronics,10.78,3.3,9140,4073,11986,100,99,57,1067.22,2754.16,1811,27
SKU-0179,B642991191,Yoga Mat,Home & Kitchen,14.51,4.9,1228,4141,14497,24,404,86,5862.04,1674.91,1022,19
SKU-0180,B542366492,USB Hub,Tools & Home Improvement,35.95,4.5,234,1735,12055,197,485,189,17435.75,4020.45,1314,1
SKU-0181,B833227907,Pet Grooming Brush,Toys & Games,30.59,3.4,2430,1617,3112,236,103,14,3150.77,3924.1,749,15
SKU-0182,B218860471,Kitchen Storage Rack,Office Products,74.67,3.7,9846,1079,8903,167,459,173,34273.53,2448.51,219,9
SKU-0183,B885471312,Silicone Spatula Set,Pet Supplies,69.6,3.9,4531,747,7831,332,519,7,36122.4,2817.24,345,9
SKU-0184,B804310992,Water Bottle,Electronics,36.09,4.2,5726,2812,14152,116,332,262,11981.88,4741.0,1735,30
SKU-0185,B671313128,Storage Hooks Set,Beauty,59.38,4.7,6121,4243,3613,291,265,18,15735.7,1292.24,394,30
SKU-0186,B165305232,Silicone Spatula Set,Electronics,43.09,3.5,5202,1691,10201,111,239,127,10298.51,594.48,1572,19
SKU-0187,B154373935,Phone Stand,Office Products,64.24,3.1,2131,1844,11453,243,457,54,29357.68,3156.37,1725,10
SKU-0188,B041256246,Camping Lantern Basic,Pet Supplies,10.77,3.1,1583,3146,4887,403,438,69,4717.26,3933.65,1720,11
SKU-0189,B850200878,Bluetooth Speaker,Tools & Home Improvement,63.77,4.7,894,1954,11721,103,70,56,4463.9,4299.69,954,14
SKU-0190,B901260909,Cleaning Brush Set,Tools & Home Improvement,9.07,4.7,8571,2606,3638,125,571,35,5178.97,3491.6,701,6
SKU-0191,B070645881,Charging Cable Set,Electronics,14.83,3.5,8612,538,7731,497,495,276,7340.85,143.82,168,13
SKU-0192,B549992614,Desk Organizer,Beauty,48.42,4.3,7022,4767,9618,473,105,56,5084.1,278.57,1435,4
SKU-0193,B492474426,Resistance Bands,Sports & Outdoors,75.24,4.4,5386,3273,6006,427,593,196,44617.32,2827.98,1991,26
SKU-0194,B217170860,Laptop Stand,Office Products,36.68,4.6,8171,4984,8516,262,526,169,19293.68,169.03,960,20
SKU-0195,B320153581,Laptop Stand,Office Products,59.72,4.3,1607,3533,4658,378,186,150,11107.92,4850.66,186,4
SKU-0196,B075503731,Cleaning Brush Set,Sports & Outdoors,47.39,3.5,958,1062,8337,492,396,110,18766.44,948.97,541,10
SKU-0197,B807534663,Pet Grooming Brush,Toys & Games,61.67,3.7,3582,3595,7777,384,60,56,3700.2,1476.17,296,8
SKU-0198,B561469058,Bluetooth Speaker,Electronics,78.13,4.7,5081,2654,5943,237,86,71,6719.18,2519.28,162,1
SKU-0199,B441450079,Storage Hooks Set,Beauty,24.94,4.5,338,3261,4996,246,411,292,10250.34,1143.75,734,1
SKU-0200,B870591876,LED Desk Lamp,Office Products,74.18,3.7,7543,2814,6210,68,114,48,8456.52,2233.32,1526,8
SKU-0201,B097562495,Resistance Bands,Beauty,30.08,4.9,3689,1013,8407,354,360,114,10828.8,4441.77,1900,22
SKU-0202,B521925880,Charging Cable Set,Toys & Games,20.86,4.9,7407,1937,4911,426,194,34,4046.84,4375.88,1471,11
SKU-0203,B176450182,Kitchen Storage Rack,Office Products,40.2,4.8,6139,3748,11374,280,31,19,1246.2,2585.68,444,13
SKU-0204,B970576312,Storage Hooks Set,Electronics,26.24,3.1,1826,1851,5055,254,572,158,15009.28,2908.4,1036,27
SKU-0205,B797176722,Cleaning Brush Set,Pet Supplies,77.03,3.8,6941,3360,9506,418,537,70,41365.11,3377.58,361,0
SKU-0206,B712582494,Water Bottle,Beauty,46.81,4.8,2104,1474,12260,494,360,273,16851.6,1182.82,1740,21
SKU-0207,B042687059,Desk Organizer,Electronics,53.53,3.1,3352,2345,8809,365,268,263,14346.04,3624.07,184,21
SKU-0208,B043207906,Laptop Stand,Pet Supplies,16.15,4.9,1091,1078,4730,404,458,42,7396.7,1949.52,712,3
SKU-0209,B362883386,Resistance Bands,Electronics,41.82,3.9,5458,2795,10024,260,36,20,1505.52,1424.92,1030,4
